"2009;""c#"";""47022"""
"2009;""c++"";""17721"""
"2009;""c"";""6912"""
"2009;""coffeescript"";""1"""
"2009;""css"";""7253"""
"2009;""delphi"";""3381"""
"2009;""go"";""84"""
"2009;""haskell"";""522"""
"2009;""java"";""26033"""
"2009;""javascript"";""19359"""
"2009;""matlab"";""632"""
"2009;""objective-c"";""6331"""
"2009;""perl"";""2808"""
"2009;""php"";""20703"""
"2009;""powershell"";""793"""
"2009;""processing"";""1084"""
"2009;""python"";""13621"""
"2009;""r"";""543"""
"2009;""ruby"";""12476"""
"2009;""scala"";""678"""
"2009;""shell"";""1234"""
"2009;""sql"";""0"""
"2009;""swift"";""0"""
"2009;""xml"";""6708"""
"2010;""c#"";""78892"""
"2010;""c++"";""35737"""
"2010;""c"";""15592"""
"2010;""coffeescript"";""24"""
"2010;""css"";""16666"""
"2010;""delphi"";""5029"""
"2010;""go"";""154"""
"2010;""haskell"";""1381"""
"2010;""java"";""58642"""
"2010;""javascript"";""45633"""
"2010;""matlab"";""1926"""
"2010;""objective-c"";""18126"""
"2010;""perl"";""5273"""
"2010;""php"";""52712"""
"2010;""powershell"";""1332"""
"2010;""processing"";""2537"""
"2010;""python"";""28628"""
"2010;""r"";""2309"""
"2010;""ruby"";""31113"""
"2010;""scala"";""2461"""
"2010;""shell"";""2267"""
"2010;""sql"";""0"""
"2010;""swift"";""2"""
"2010;""xml"";""12250"""
"2011;""c#"";""120406"""
"2011;""c++"";""53354"""
"2011;""c"";""23280"""
"2011;""coffeescript"";""763"""
"2011;""css"";""34859"""
"2011;""delphi"";""7411"""
"2011;""go"";""370"""
"2011;""haskell"";""3242"""
"2011;""java"";""107700"""
"2011;""javascript"";""94960"""
"2011;""matlab"";""4290"""
"2011;""objective-c"";""39679"""
"2011;""perl"";""7134"""
"2011;""php"";""99315"""
"2011;""powershell"";""2466"""
"2011;""processing"";""4899"""
"2011;""python"";""45452"""
"2011;""r"";""5925"""
"2011;""ruby"";""68792"""
"2011;""scala"";""4686"""
"2011;""shell"";""3755"""
"2011;""sql"";""64061"""
"2011;""swift"";""3"""
"2011;""xml"";""20339"""
"2012;""c#"";""148790"""
"2012;""c++"";""70072"""
"2012;""c"";""32079"""
"2012;""coffeescript"";""1747"""
"2012;""css"";""53878"""
"2012;""delphi"";""8040"""
"2012;""go"";""958"""
"2012;""haskell"";""4366"""
"2012;""java"";""157246"""
"2012;""javascript"";""143759"""
"2012;""matlab"";""8064"""
"2012;""objective-c"";""47961"""
"2012;""perl"";""8195"""
"2012;""php"";""137671"""
"2012;""powershell"";""4688"""
"2012;""processing"";""6252"""
"2012;""python"";""73046"""
"2012;""r"";""12397"""
"2012;""ruby"";""85719"""
"2012;""scala"";""5959"""
"2012;""shell"";""6365"""
"2012;""sql"";""84559"""
"2012;""swift"";""9"""
"2012;""xml"";""26091"""
"2013;""c#"";""178976"""
"2013;""c++"";""90724"""
"2013;""c"";""42555"""
"2013;""coffeescript"";""2253"""
"2013;""css"";""81411"""
"2013;""delphi"";""8736"""
"2013;""go"";""2150"""
"2013;""haskell"";""4921"""
"2013;""java"";""209977"""
"2013;""javascript"";""208645"""
"2013;""matlab"";""13306"""
"2013;""objective-c"";""49932"""
"2013;""perl"";""10620"""
"2013;""php"";""179698"""
"2013;""powershell"";""7133"""
"2013;""processing"";""8191"""
"2013;""python"";""119135"""
"2013;""r"";""22978"""
"2013;""ruby"";""98877"""
"2013;""scala"";""9491"""
"2013;""shell"";""9325"""
"2013;""sql"";""120543"""
"2013;""swift"";""49"""
"2013;""xml"";""30982"""
"2014;""c#"";""139262"""
"2014;""c++"";""68199"""
"2014;""c"";""31685"""
"2014;""coffeescript"";""1614"""
"2014;""css"";""72820"""
"2014;""delphi"";""5764"""
"2014;""go"";""2782"""
"2014;""haskell"";""4264"""
"2014;""java"";""183963"""
"2014;""javascript"";""194842"""
"2014;""matlab"";""12432"""
"2014;""objective-c"";""40532"""
"2014;""perl"";""7317"""
"2014;""php"";""152716"""
"2014;""powershell"";""6676"""
"2014;""processing"";""7253"""
"2014;""python"";""109295"""
"2014;""r"";""23472"""
"2014;""ruby"";""75426"""
"2014;""scala"";""8439"""
"2014;""shell"";""7925"""
"2014;""sql"";""103904"""
"2014;""swift"";""7073"""
"2014;""xml"";""25300"""
